Month,Category,Amount
2020-01,FFA,2291.0
2020-01,HEALTH,2370.34
2020-01,INCOME,1077.09
2020-01,LTSS,-17275.07
2020-01,NEC,11775.97
2020-01,PLAY,1914.85
2020-02,FFA,7194.0
2020-02,HEALTH,766.81
2020-02,INCOME,294.31
2020-02,LTSS,-23713.79
2020-02,NEC,5575.49
2020-02,PLAY,10471.8
2020-03,FFA,2385.0
2020-03,HEALTH,881.82
2020-03,INCOME,0.0
2020-03,LTSS,-15966.81
2020-03,NEC,10326.43
2020-03,PLAY,2373.56
2020-04,FFA,3968.0
2020-04,HEALTH,1603.18
2020-04,INCOME,2222.6
2020-04,LTSS,-15755.85
2020-04,NEC,5390.39
2020-04,PLAY,7016.88
2020-05,FFA,6008.0
2020-05,HEALTH,2893.98
2020-05,INCOME,318.05
2020-05,LTSS,-22218.03
2020-05,NEC,9345.85
2020-05,PLAY,4288.25
2020-06,FFA,0.0
2020-06,HEALTH,4901.31
2020-06,INCOME,1107.84
2020-06,LTSS,-18465.04
2020-06,NEC,9588.16
2020-06,PLAY,5083.41
2020-07,FFA,0.0
2020-07,HEALTH,3031.75
2020-07,INCOME,109.93
2020-07,LTSS,-23806.409999999996
2020-07,NEC,10675.46
2020-07,PLAY,10209.13
2020-08,FFA,4142.0
2020-08,HEALTH,2812.65
2020-08,INCOME,1409.98
2020-08,LTSS,-32708.84
2020-08,NEC,18469.36
2020-08,PLAY,8694.81
2020-09,FFA,0.0
2020-09,HEALTH,214.33
2020-09,INCOME,5906.79
2020-09,LTSS,-9701.57
2020-09,NEC,10154.69
2020-09,PLAY,5239.34
2020-10,FFA,12897.0
2020-10,HEALTH,710.1
2020-10,INCOME,3825.62
2020-10,LTSS,-27408.75
2020-10,NEC,10394.98
2020-10,PLAY,7232.290000000001
2020-11,FFA,4280.0
2020-11,HEALTH,240.68
2020-11,INCOME,4325.76
2020-11,LTSS,-22363.64
2020-11,NEC,12357.38
2020-11,PLAY,9811.34
2020-12,FFA,2423.0
2020-12,HEALTH,0.0
2020-12,INCOME,4878.16
2020-12,LTSS,-21024.8
2020-12,NEC,14683.3
2020-12,PLAY,8796.66
2021-01,FFA,0.0
2021-01,HEALTH,2979.62
2021-01,INCOME,518.1
2021-01,LTSS,-14780.909999999998
2021-01,NEC,6721.06
2021-01,PLAY,5598.33
2021-02,FFA,804.0
2021-02,HEALTH,4299.46
2021-02,INCOME,2176.17
2021-02,LTSS,-16376.889999999998
2021-02,NEC,9896.56
2021-02,PLAY,3553.04
2021-03,FFA,13088.0
2021-03,HEALTH,4694.9
2021-03,INCOME,299.85
2021-03,LTSS,-38711.54
2021-03,NEC,13825.71
2021-03,PLAY,7402.78
2021-04,FFA,1168.0
2021-04,HEALTH,2839.02
2021-04,INCOME,1058.6
2021-04,LTSS,-22148.510000000002
2021-04,NEC,14530.33
2021-04,PLAY,4669.76
2021-05,FFA,5283.0
2021-05,HEALTH,3539.19
2021-05,INCOME,3548.43
2021-05,LTSS,-21966.92
2021-05,NEC,12403.41
2021-05,PLAY,4289.75
2021-06,FFA,5599.0
2021-06,HEALTH,3639.47
2021-06,INCOME,1982.06
2021-06,LTSS,-23772.51
2021-06,NEC,15365.23
2021-06,PLAY,1150.87
2021-07,FFA,730.0
2021-07,HEALTH,0.0
2021-07,INCOME,5450.17
2021-07,LTSS,-8952.03
2021-07,NEC,10050.1
2021-07,PLAY,3622.1
2021-08,FFA,3025.0
2021-08,HEALTH,2049.05
2021-08,INCOME,1930.19
2021-08,LTSS,-13738.65
2021-08,NEC,6954.62
2021-08,PLAY,3640.17
2021-09,FFA,8088.0
2021-09,HEALTH,1781.35
2021-09,INCOME,1918.8
2021-09,LTSS,-21335.16
2021-09,NEC,11273.6
2021-09,PLAY,2111.01
2021-10,FFA,4203.0
2021-10,HEALTH,1339.0
2021-10,INCOME,1901.48
2021-10,LTSS,-12959.61
2021-10,NEC,5952.5
2021-10,PLAY,3366.59
2021-11,FFA,5213.0
2021-11,HEALTH,3903.01
2021-11,INCOME,934.24
2021-11,LTSS,-17669.89
2021-11,NEC,5193.61
2021-11,PLAY,4294.51
2021-12,FFA,11998.0
2021-12,HEALTH,2598.07
2021-12,INCOME,2568.47
2021-12,LTSS,-16857.719999999998
2021-12,NEC,3177.75
2021-12,PLAY,1652.37
2022-01,FFA,5971.0
2022-01,HEALTH,2329.64
2022-01,INCOME,4210.77
2022-01,LTSS,-18382.069999999996
